Longitude,Latitude,Magnitude,Time,Timestamp,Week,Location
104.82,29.59,5.2,2019-12-18 08:14:05,1576628045,168,四川内江市资中县
104.88,28.43,3.8,2019-12-29 08:47:12,1577580432,169,四川宜宾市长宁县
105.01,29.02,4.3,2020-01-01 11:01:57,1577847717,170,四川自贡市富顺县
104.93,28.21,4.1,2020-01-08 01:09:37,1578416977,171,四川宜宾市兴文县
104.73,28.48,3.9,2020-02-03 23:55:51,1580745351,175,四川宜宾市珙县
104.5,29.48,4.4,2020-02-16 04:28:19,1581798499,176,四川自贡市荣县
104.99,28.67,3.6,2020-03-17 10:30:37,1584412237,181,四川宜宾市长宁县
104.84,28.42,4.1,2020-04-23 17:04:40,1587632680,186,四川宜宾市长宁县
104.74,28.17,3.6,2020-05-10 15:42:28,1589096548,188,四川宜宾市珙县
104.74,28.18,3.8,2020-05-22 03:12:50,1590088370,190,四川宜宾市珙县
103.63,29.0,3.8,2020-05-26 20:34:50,1590496490,191,四川乐山市马边县
104.73,28.19,4.0,2020-06-12 21:03:39,1591967019,193,四川宜宾市珙县
104.75,28.17,3.8,2020-06-23 22:12:22,1592921542,195,四川宜宾市珙县
104.77,28.17,3.7,2020-06-30 01:55:08,1593453308,196,四川宜宾市珙县
104.63,27.16,4.5,2020-07-02 11:11:35,1593659495,196,贵州毕节市赫章县
104.85,28.41,3.9,2020-08-06 17:08:13,1596704893,201,四川宜宾市长宁县
105.06,28.16,3.8,2020-08-11 13:41:48,1597124508,202,四川宜宾市兴文县
104.79,28.4,3.6,2020-09-16 15:03:08,1600239788,207,四川宜宾市珙县
105.05,28.1,3.8,2020-09-26 04:34:09,1601066049,208,云南昭通市威信县
104.17,28.07,3.5,2020-09-30 02:49:11,1601405351,209,云南昭通市盐津县
104.53,29.52,3.6,2020-10-28 11:54:31,1603857271,213,四川内江市威远县
104.73,28.17,4.1,2020-11-13 03:18:12,1605208692,215,四川宜宾市珙县
